benchmark,family,result,time,memory
mbo_E2,20161105-Sturm-MBO,unsat,0.027,20.941
mbo_E3E10,20161105-Sturm-MBO,memoryout,0,0
mbo_E3E11,20161105-Sturm-MBO,unsat,0.05,22.562
mbo_E3E12,20161105-Sturm-MBO,unsat,0.107,25.09
mbo_E3E13,20161105-Sturm-MBO,unsat,0.112,25.609
mbo_E3E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E3E15,20161105-Sturm-MBO,unsat,0.115,25.09
mbo_E3E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E3E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E3E18,20161105-Sturm-MBO,unsat,0.116,25.187
mbo_E3E19,20161105-Sturm-MBO,unsat,0.104,25.004
mbo_E3E20,20161105-Sturm-MBO,unsat,0.089,24.176
mbo_E3E21,20161105-Sturm-MBO,unsat,0.075,24.016
mbo_E3E22,20161105-Sturm-MBO,unsat,0.087,24.344
mbo_E3E23,20161105-Sturm-MBO,unsat,0.081,24.273
mbo_E3E24,20161105-Sturm-MBO,unsat,0.093,24.621
mbo_E3E25,20161105-Sturm-MBO,unsat,0.092,24.562
mbo_E3E26,20161105-Sturm-MBO,unsat,0.086,24.453
mbo_E3E27,20161105-Sturm-MBO,unsat,0.044,21.77
mbo_E3E28,20161105-Sturm-MBO,unsat,0.094,24.617
mbo_E3E4,20161105-Sturm-MBO,unsat,0.123,25.672
mbo_E3E5,20161105-Sturm-MBO,unsat,0.124,26.602
mbo_E3E6,20161105-Sturm-MBO,unsat,0.127,26.535
mbo_E3E7,20161105-Sturm-MBO,unsat,0.072,23.418
mbo_E3E8,20161105-Sturm-MBO,unsat,0.115,25.949
mbo_E3E9,20161105-Sturm-MBO,memoryout,0,0
mbo_E3,20161105-Sturm-MBO,unsat,0.02,20.941
mbo_E4E10,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E11,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E12,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E13,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E14,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E15,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E16,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E17,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E18,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E19,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E20,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E21,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E22,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E23,20161105-Sturm-MBO,unsat,0.079,24.145
mbo_E4E24,20161105-Sturm-MBO,unsat,0.099,24.527
mbo_E4E25,20161105-Sturm-MBO,memoryout,0,0
