benchmark,family,result,time
mbo_E2E9,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.003
mbo_E2,20161105-Sturm-MBO,unsat,0.385
mbo_E3E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.031
mbo_E3E11,20161105-Sturm-MBO,unsat,3.672
mbo_E3E12,20161105-Sturm-MBO,unsat,14.99
mbo_E3E13,20161105-Sturm-MBO,unsat,16.051
mbo_E3E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E3E15,20161105-Sturm-MBO,unsat,15.343
mbo_E3E16,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E3E17,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.003
mbo_E3E18,20161105-Sturm-MBO,unsat,15.544
mbo_E3E19,20161105-Sturm-MBO,unsat,14.873
mbo_E3E20,20161105-Sturm-MBO,unsat,11.415
mbo_E3E21,20161105-Sturm-MBO,unsat,8.962
mbo_E3E22,20161105-Sturm-MBO,unsat,12.302
mbo_E3E23,20161105-Sturm-MBO,unsat,9.478
mbo_E3E24,20161105-Sturm-MBO,unsat,12.338
mbo_E3E25,20161105-Sturm-MBO,unsat,13.947
mbo_E3E26,20161105-Sturm-MBO,unsat,11.658
mbo_E3E27,20161105-Sturm-MBO,unsat,1.785
mbo_E3E28,20161105-Sturm-MBO,unsat,12.49
mbo_E3E4,20161105-Sturm-MBO,unsat,15.76
mbo_E3E5,20161105-Sturm-MBO,unsat,25.707
mbo_E3E6,20161105-Sturm-MBO,unsat,22.063
mbo_E3E7,20161105-Sturm-MBO,unsat,5.435
mbo_E3E8,20161105-Sturm-MBO,unsat,17.411
mbo_E3E9,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.004
mbo_E3,20161105-Sturm-MBO,unsat,0.378
mbo_E4E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E4E11,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E4E12,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.009
mbo_E4E13,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E4E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.023
mbo_E4E15,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E4E16,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.004
mbo_E4E17,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.007
mbo_E4E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.018
mbo_E4E19,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E4E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E4E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.005
mbo_E4E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.004
mbo_E4E23,20161105-Sturm-MBO,unsat,8.413
